"location","doy","hour","soil.moist"
"ag field",199,10,0.373989596111111
"ag field",199,11,0.434894279333333
"ag field",199,12,0.425968851777778
"ag field",199,13,0.41606974
"ag field",199,14,0.409369895888889
"ag field",199,15,0.403916059333333
"ag field",199,16,0.399110484333333
"ag field",199,17,0.394112714777778
"ag field",199,18,0.389738527888889
"ag field",199,19,0.387484909555556
"ag field",199,20,0.394853649555555
"ag field",199,21,0.394353889222222
"ag field",199,22,0.394715588
"ag field",199,23,0.405395094888889
"ag field",200,0,0.419261319111111
"ag field",200,1,0.430078798
"ag field",200,2,0.427232002555555
"ag field",200,3,0.423637032
"ag field",200,4,0.420748427888889
"ag field",200,5,0.418505576777778
"ag field",200,6,0.416778166777778
"ag field",200,7,0.415721378
"ag field",200,8,0.414830330777778
"ag field",200,9,0.413503158555555
"ag field",200,10,0.411266101888889
"ag field",200,11,0.407880830666667
"ag field",200,12,0.403653799888889
"ag field",200,13,0.399120771111111
"ag field",200,14,0.394791091333333
"ag field",200,15,0.390383213666667
"ag field",200,16,0.386009433666667
"ag field",200,17,0.381068102222222
"ag field",200,18,0.378010648222222
"ag field",200,19,0.376054161444444
"ag field",200,20,0.374417212555555
"ag field",200,21,0.373009002888889
"ag field",200,22,0.371878240555555
"ag field",200,23,0.370750133555555
"ag field",201,0,0.369859873888889
"ag field",201,1,0.369364444777778
"ag field",201,2,0.368873426666667
"ag field",201,3,0.368517782666667
"ag field",201,4,0.367973661777778
"ag field",201,5,0.367427676666667
"ag field",201,6,0.367029096666667
"ag field",201,7,0.367081657888889
"ag field",201,8,0.367078094111111
"ag field",201,9,0.366899968555556
"ag field",201,10,0.366539440666667
"ag field",201,11,0.365642772666667
"ag field",201,12,0.363419684555556
"ag field",201,13,0.360303700555555
"ag field",201,14,0.357201416777778
"ag field",201,15,0.353341308666667
"ag field",201,16,0.348748275666667
"ag field",201,17,0.343275468444444
"ag field",201,18,0.339367065555556
"ag field",201,19,0.336957928
"ag field",201,20,0.335151470555555
"ag field",201,21,0.333812348333333
"ag field",201,22,0.332590856
"ag field",201,23,0.331503775777778
"ag field",202,0,0.330126031
"ag field",202,1,0.328115782
"ag field",202,2,0.326317181555556
"ag field",202,3,0.324713912555556
"ag field",202,4,0.323176215777778
"ag field",202,5,0.321812343333333
"ag field",202,6,0.320615778111111
"ag field",202,7,0.319702013777778
"ag field",202,8,0.319164371555555
"ag field",202,9,0.319199856
"ag field",202,10,0.318995065666667
"ag field",202,11,0.318748896888889
"ag field",202,12,0.317523362777778
"ag field",202,13,0.316288349444444
"ag field",202,14,0.314099246555555
"ag field",202,15,0.312756386444444
"ag field",202,16,0.309717107111111
"ag field",202,17,0.306045310777778
"ag field",202,18,0.303366916444444
"ag field",202,19,0.300895341
"ag field",202,20,0.299388072777778
"ag field",202,21,0.298501185444444
"ag field",202,22,0.297443005888889
"ag field",202,23,0.296424456333333
"ag field",203,0,0.295400634666667
"ag field",203,1,0.294519062555556
"ag field",203,2,0.293848311333333
"ag field",203,3,0.293390285777778
"ag field",203,4,0.292341660777778
"ag field",203,5,0.291457673555556
"ag field",203,6,0.291019661333333
"ag field",203,7,0.290307348222222
"ag field",203,8,0.289941233222222
"ag field",203,9,0.289909660888889
"ag field",203,10,0.290537602888889
"ag field",203,11,0.291442237666667
"ag field",203,12,0.291523047111111
"ag field",203,13,0.290528567222222
"ag field",203,14,0.288998096111111
"ag field",203,15,0.288520562888889
"ag field",203,16,0.287039796555556
"ag field",203,17,0.283373042111111
"ag field",203,18,0.280667393888889
"ag field",203,19,0.278855147
"ag field",203,20,0.276963217222222
"ag field",203,21,0.275422722111111
"ag field",203,22,0.274666563333333
"ag field",203,23,0.273911627888889
"ag field",204,0,0.273306359222222
"ag field",204,1,0.272836963444444
"ag field",204,2,0.272403848222222
"ag field",204,3,0.271919361
"ag field",204,4,0.271434419333333
"ag field",204,5,0.271075707666667
"ag field",204,6,0.270775261111111
"ag field",204,7,0.270425371444444
"ag field",204,8,0.269783319444444
"ag field",204,9,0.269694893444444
"ag field",204,10,0.270712413
"ag field",204,11,0.272058770333333
"ag field",204,12,0.273015588222222
"ag field",204,13,0.272907201333333
"ag field",204,14,0.272646017777778
"ag field",204,15,0.271174638444444
"ag field",204,16,0.268602927333333
"ag field",204,17,0.266173204555555
"ag field",204,18,0.263980047888889
"ag field",204,19,0.262050206111111
"ag field",204,20,0.260596067333333
"ag field",204,21,0.259911625666667
"ag field",204,22,0.259156079555556
"ag field",204,23,0.257915242666667
"ag field",205,0,0.257115589222222
"ag field",205,1,0.256342938
"ag field",205,2,0.255974276777778
"ag field",205,3,0.256194435555555
"ag field",205,4,0.256194165222222
"ag field",205,5,0.255520180444444
"ag field",205,6,0.255015318777778
"ag field",205,7,0.255006684777778
"ag field",205,8,0.255294856222222
"ag field",205,9,0.256186774222222
"ag field",205,10,0.256870203222222
"ag field",205,11,0.257985283333333
"ag field",205,12,0.258165545888889
"ag field",205,13,0.256962269888889
"ag field",205,14,0.255117899888889
"ag field",205,15,0.254111356111111
"ag field",205,16,0.254247597
"ag field",205,17,0.253706756111111
"ag field",205,18,0.252986093777778
"ag field",205,19,0.252499061
"ag field",205,20,0.251837783777778
"ag field",205,21,0.251284824444444
"ag field",205,22,0.273837078444444
"ag field",205,23,0.297945791444444
"ag field",206,0,0.290260017666667
"ag field",206,1,0.286397443111111
"ag field",206,2,0.284176466444444
"ag field",206,3,0.282976941777778
"ag field",206,4,0.306475755111111
"ag field",206,5,0.388329650888889
"ag field",206,6,0.411722655222222
"ag field",206,7,0.399655533
"ag field",206,8,0.391949656444444
"ag field",206,9,0.385563232619048
"ag field",206,10,0.379843326153846
"ag field",206,11,0.377258703333333
"ag field",206,12,0.372293151666667
"ag field",206,13,0.366676573333333
"ag field",206,14,0.360925508333333
"ag field",206,15,0.355621516666667
"ag field",206,16,0.350003586666667
"ag field",206,17,0.344147611666667
"ag field",206,18,0.339925108333333
"ag field",206,19,0.33674976
"ag field",206,20,0.334012246666667
"ag field",206,21,0.332099886666667
"ag field",206,22,0.33050921
"ag field",206,23,0.328952836666667
"ag field",207,0,0.327539956666667
"ag field",207,1,0.326360175
"ag field",207,2,0.325306965
"ag field",207,3,0.324143545
"ag field",207,4,0.323160515
"ag field",207,5,0.322411576666667
"ag field",207,6,0.321647696666667
"ag field",207,7,0.321081088333333
"ag field",207,8,0.32066149
"ag field",207,9,0.319658568333333
"ag field",207,10,0.31843775
"ag field",207,11,0.317815636666667
"ag field",207,12,0.316481948333333
"ag field",207,13,0.316396003333333
"ag field",207,14,0.314921608333333
"ag field",207,15,0.312496668333333
"ag field",207,16,0.310457383333333
"ag field",207,17,0.307825258333333
"ag field",207,18,0.30566361
"ag field",207,19,0.304458495
"ag field",207,20,0.303700086666667
"ag field",207,21,0.302944945
"ag field",207,22,0.302282005
"ag field",207,23,0.301240708333333
"ag field",208,0,0.300479716666667
"ag field",208,1,0.299646731666667
"ag field",208,2,0.299089045
"ag field",208,3,0.298645601666667
"ag field",208,4,0.298124791666667
"ag field",208,5,0.297717705
"ag field",208,6,0.29747454
"ag field",208,7,0.297363043333333
"ag field",208,8,0.296854421666667
"ag field",208,9,0.296332165
"ag field",208,10,0.296960435
"ag field",208,11,0.296997778333333
"ag field",208,12,0.296446871666667
"ag field",208,13,0.295222401666667
"ag field",208,14,0.293847458333333
"ag field",208,15,0.292997725
"ag field",208,16,0.291458383333333
"ag field",208,17,0.289160701666667
"ag field",208,18,0.287099201666667
"ag field",208,19,0.285673531666667
"ag field",208,20,0.284472125
"ag field",208,21,0.283982995
"ag field",208,22,0.283530871666667
"ag field",208,23,0.282985153333333
"ag field",209,0,0.282569936666667
"ag field",209,1,0.282024731666667
"ag field",209,2,0.28129202
"ag field",209,3,0.28106301
"ag field",209,4,0.28121607
"ag field",209,5,0.280931068333333
"ag field",209,6,0.280131518333333
"ag field",209,7,0.279769496666667
"ag field",209,8,0.279706581666667
"ag field",209,9,0.279867943333333
"ag field",209,10,0.280579106666667
"ag field",209,11,0.281385041666667
"ag field",209,12,0.280937605
"ag field",209,13,0.280776426666667
"ag field",209,14,0.341676795
"ag field",209,15,0.378152185
"ag field",209,16,0.366257056666667
"ag field",209,17,0.35735832
"ag field",209,18,0.351799308333333
"ag field",209,19,0.34818329
"ag field",209,20,0.345441405
"ag field",209,21,0.342940523333333
"ag field",209,22,0.340860391666667
"ag field",209,23,0.339258855
"ag field",210,0,0.337978015
"ag field",210,1,0.336802915
"ag field",210,2,0.335693585
"ag field",210,3,0.334619028333333
"ag field",210,4,0.333794825
"ag field",210,5,0.332967805
"ag field",210,6,0.332395158333333
"ag field",210,7,0.332107348333333
"ag field",210,8,0.331776821666667
"ag field",210,9,0.331195491666667
"ag field",210,10,0.3312179
"ag field",210,11,0.330499463333333
"ag field",210,12,0.33039247
"ag field",210,13,0.328861538333333
"ag field",210,14,0.326631921666667
"ag field",210,15,0.324174941666667
"ag field",210,16,0.321472446666667
"ag field",210,17,0.317972316666667
"ag field",210,18,0.315684828333333
"ag field",210,19,0.314165633333333
"ag field",210,20,0.312791421666667
"ag field",210,21,0.312047263333333
"ag field",210,22,0.310967355
"ag field",210,23,0.309635781666667
"deciduous",190,0,0.418936018
"deciduous",190,1,0.418519954555556
"deciduous",190,2,0.417669553777778
"deciduous",190,3,0.417280345666667
"deciduous",190,4,0.416713496111111
"deciduous",190,5,0.416732601
"deciduous",190,6,0.416948777111111
"deciduous",190,7,0.417262643222222
"deciduous",190,8,0.419027687444444
"deciduous",190,9,0.418764935222222
"deciduous",190,10,0.417997174777778
"deciduous",190,11,0.416712774333333
"deciduous",190,12,0.416393127333333
"deciduous",190,13,0.414600940555555
"deciduous",190,14,0.413813528111111
"deciduous",190,15,0.412802052888889
"deciduous",190,16,0.411737865111111
"deciduous",190,17,0.411081682444444
"deciduous",190,18,0.409492230666667
"deciduous",190,19,0.408544003111111
